[2025-11-14 21:09:15,097: INFO: main: Welcome to our logs i am just checking]
[2025-11-14 21:11:01,750: INFO: main: Welcome to our logs i am just checking]
[2025-11-15 18:35:03,206: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-11-15 18:35:03,211: INFO: common: yaml file: params.yaml loaded successfully]
[2025-11-15 18:35:03,213: INFO: common: created directory at: artifacts]
[2025-11-15 18:35:03,215: INFO: common: created directory at: artifacts/data_ingestion]
[2025-11-15 18:35:03,216: INFO: 1819018598: Downloading data from https://drive.google.com/uc?id=1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3 into file artifacts/data_ingestion/data.zip]
[2025-11-15 18:35:55,844: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-11-15 18:35:55,848: INFO: common: yaml file: params.yaml loaded successfully]
[2025-11-15 18:35:55,849: INFO: common: created directory at: artifacts]
[2025-11-15 18:35:55,852: INFO: common: created directory at: artifacts/data_ingestion]
[2025-11-15 18:35:55,853: INFO: 575933778: Downloading data from https://drive.google.com/uc?id=1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3 into file artifacts/data_ingestion/data.zip]
[2025-11-15 18:39:39,094: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-11-15 18:39:39,098: INFO: common: yaml file: params.yaml loaded successfully]
[2025-11-15 18:39:39,101: INFO: common: created directory at: artifacts]
[2025-11-15 18:39:39,106: INFO: common: created directory at: artifacts/data_ingestion]
[2025-11-15 18:39:39,111: INFO: 575933778: Downloading data from https://drive.google.com/uc?id=1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3 into file artifacts/data_ingestion/data.zip]
[2025-11-15 18:43:39,027: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-11-15 18:43:39,029: INFO: common: yaml file: params.yaml loaded successfully]
[2025-11-15 18:43:39,031: INFO: common: created directory at: artifacts]
[2025-11-15 18:43:39,033: INFO: common: created directory at: artifacts/data_ingestion]
[2025-11-15 18:43:39,034: INFO: 575933778: Downloading data from https://drive.google.com/file/d/1cJuzLY5w8LX_yfydDkEUUBQRzso8QwLZ/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-11-15 18:43:42,029: INFO: 575933778: Downloaded data from https://drive.google.com/file/d/1cJuzLY5w8LX_yfydDkEUUBQRzso8QwLZ/view?usp=sharing into file artifacts/data_ingestion/data.zip]
